Blue Bulb (Compressor),Condenser Fan,Dual Plug Outlet,Heater Fan,Red Bulb (Heater),Gaze Webcam,Contactor Relay,SPST Fan Relay,Electric Heat Sequencer,DPDT Switching Relay,Power Transformer,Circuit Breaker,Terminal Block,Thermostat with Display
100.90000000000000,300.00000000000000,21.000000000000000,78.96370000000000,45.0,75.0,56.00000000000000,7.000000000000000,22.0,55.00000000000000,0.0,22.0,35.0,0.0
100.90000000000000,300.0,21.000000000000000,78.96370000000000,45.0,75.0,56.0,7.0,22.0,55.00000000000000,0.0,22.0,35.0,0.0
100.90000000000000,300.00000000000000,21.000000000000000,78.96370000000000,45.0,75.0,56.0,7.0,22.0,55.00000000000000,0.0,22.0,35.0,0.0
100.90000000000000,300.00000000000000,21.000000000000000,78.96370000000000,45.0,75.0,56.0,7.0,22.0,55.00000000000000,0.0,22.0,35.0,0.0
100.90000000000000,300.00000000000000,21.000000000000000,78.96370000000000,45.0,75.0,56.0,7.0,22.0,55.00000000000000,0.0,22.0,35.0,0.0
100.90000000000000,300.00000000000000,21.000000000000000,78.96370000000000,45.0,75.0,56.0,7.0,22.0,55.00000000000000,0.0,22.0,35.0,0.0
100.90000000000000,300.00000000000000,21.000000000000000,78.96370000000000,45.0,75.0,56.0,7.0,22.0,55.00000000000000,0.0,22.0,35.0,0.0
100.90000000000000,300.00000000000000,21.000000000000000,78.96370000000000,45.0,75.0,56.0,7.0,22.0,55.00000000000000,0.0,22.0,35.0,0.0
100.90000000000000,300.00000000000000,21.000000000000000,78.96370000000000,45.0,75.0,56.0,7.0,22.0,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.73195876288660,7.216494845360820,22.0,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,22.0,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,22.0,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,22.0,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,22.0,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,22.0,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,22.0,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,23.81693973584740,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,26.983180641224100,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,31.307241155700600,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,36.50206792468480,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,42.400887827165800,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,48.65692226644810,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,55.365863998660200,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,62.14057563078540,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,68.97171499166100,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,75.87017428789820,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,82.81056500689500,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,89.62082996694390,55.00000000000000,0.0,22.0,35.0,0.0
97.87300000000010,309.27835051546400,18.556701030927800,81.40587628865980,45.0,75.0,57.7319587628866,7.216494845360830,96.24335697349860,55.00000000000000,0.0,22.0,35.0,0.0
100.99965721939500,396.6074786600730,20.90007093206880,79.05576830479270,42.0,80.0,30.00010181636680,15.000050908183400,22.0,30.0,0.0,22.0,75.25589681733930,5.285107019511470
100.99934097218000,393.47753952728300,20.900136373973500,79.05601584271100,42.0,80.0,30.000195752115000,15.000097876057500,22.0,30.0,0.0,22.0,75.49198560091,5.186625957095620
